play_id,penaltySeverity,penaltyMinutes
2018020042_118,Minor,2
2018020042_188,Minor,2
2018020042_190,Minor,2
2018020042_191,Minor,2
2018020042_213,Minor,2
2018020042_215,Minor,2
2018020042_216,Minor,2
2018020042_217,Minor,2
2018020042_218,Minor,2
2018020042_219,Minor,2
2018020042_220,Minor,2
2018020042_223,Minor,2
2018020042_260,Minor,2
2018020042_261,Minor,2
2018020042_262,Minor,2
2018020042_298,Minor,2
2018020042_328,Minor,2
2018020042_334,Minor,2
2018020042_348,Minor,2
2018020043_40,Minor,2
2018020043_52,Minor,2
2018020043_87,Minor,2
2018020043_177,Minor,2
2018020043_236,Minor,2
2018020043_255,Minor,2
2018020043_277,Minor,2
2018020044_19,Minor,2
2018020044_111,Minor,2
2018020044_152,Minor,2
2018020044_198,Minor,2
2018020044_259,Minor,2
2018020044_267,Minor,2
2018020042_12,Minor,2
2018020042_26,Minor,2
2018020042_42,Minor,2
2018020042_55,Minor,2
2018020042_84,Minor,2
2018020042_118,Minor,2
2018020042_188,Minor,2
2018020042_190,Minor,2
2018020042_191,Minor,2
2018020042_213,Minor,2
2018020042_215,Minor,2
2018020042_216,Minor,2
2018020042_217,Minor,2
2018020042_218,Minor,2
2018020042_219,Minor,2
2018020042_220,Minor,2
2018020042_223,Minor,2
2018020042_260,Minor,2
2018020042_261,Minor,2
2018020042_262,Minor,2
2018020042_298,Minor,2
2018020042_328,Minor,2
2018020042_334,Minor,2
2018020042_348,Minor,2
2018020043_40,Minor,2
2018020043_52,Minor,2
2018020043_87,Minor,2
2018020043_177,Minor,2
2018020043_236,Minor,2
2018020043_255,Minor,2
2018020043_277,Minor,2
2018020044_19,Minor,2
2018020044_111,Minor,2
2018020044_152,Minor,2
2018020044_198,Minor,2
2018020044_259,Minor,2
2018020044_267,Minor,2
2018020045_44,Minor,2
2018020045_73,Minor,2
2018020045_89,Minor,2
2018020045_97,Minor,2
2018020045_129,Major,5
2018020045_130,Major,5
2018020045_149,Minor,2
2018020045_150,Minor,2
2018020045_203,Minor,2
2018020045_270,Minor,2
2018020046_51,Minor,2
2018020046_59,Minor,2
2018020046_85,Bench Minor,2
2018020046_95,Minor,2
2018020046_117,Minor,2
2018020046_119,Minor,2
2018020046_154,Minor,2
2018020046_161,Minor,2
2018020046_190,Minor,2
2018020046_222,Minor,2
2018020046_242,Minor,2
2018020047_42,Minor,2
2018020047_67,Minor,2
2018020047_69,Minor,2
2018020047_88,Minor,2
2018020047_177,Minor,2
2018020048_77,Minor,2
2018020048_84,Minor,2
2018020048_86,Minor,2
2018020048_87,Minor,2
2018020048_111,Minor,2
2018020048_135,Minor,2
2018020048_191,Minor,2
2018020048_242,Minor,2
2018020048_244,Minor,2
2018020048_332,Minor,2
2018020049_26,Minor,2
2018020049_55,Minor,2
2018020049_78,Bench Minor,2
2018020049_92,Minor,2
2018020049_93,Minor,2
2018020049_109,Minor,2
2018020049_250,Minor,2
2018020050_20,Minor,2
2018020050_115,Minor,2
2018020050_312,Minor,2
2018020051_18,Minor,2
2018020051_37,Minor,2
2018020051_155,Minor,2
2018020051_206,Minor,2
2018020051_212,Minor,2
2018020051_226,Minor,2
2018020051_341,Minor,2
2018020051_342,Misconduct,10
2018020052_28,Minor,2
2018020052_37,Minor,2
2018020052_49,Major,5
2018020052_50,Major,5
2018020052_133,Minor,2
2018020052_148,Minor,2
2018020052_187,Minor,2
2018020052_267,Minor,2
2018020052_277,Minor,2
2018020052_294,Minor,2
2018020052_295,Minor,2
2018020053_16,Minor,2
2018020053_28,Minor,2
2018020053_127,Minor,2
2018020053_151,Minor,2
2018020053_167,Minor,2
2018020053_180,Minor,2
2018020053_189,Minor,2
2018020053_196,Minor,2
2018020053_251,Minor,2
2018020054_17,Minor,2
2018020054_62,Minor,2
2018020054_74,Minor,2
2018020054_87,Penalty Shot,0
2018020054_88,Minor,2
2018020054_107,Minor,2
2018020054_131,Minor,2
2018020054_153,Minor,2
2018020054_156,Minor,2
2018020054_187,Minor,2
2018020054_219,Minor,2
2018020054_290,Minor,2
2018020054_291,Minor,2
2018020055_57,Minor,2
2018020055_69,Minor,4
2018020055_134,Minor,2
2018020055_152,Minor,2
2018020055_167,Minor,2
2018020055_168,Major,5
2018020055_169,Major,5
2018020055_170,Major,5
2018020055_171,Major,5
2018020055_177,Minor,2
2018020055_184,Minor,2
2018020055_185,Misconduct,10
2018020055_195,Minor,2
2018020055_244,Minor,2
2018020055_276,Minor,2
2018020055_287,Minor,2
2018020055_288,Minor,2
2018020055_289,Misconduct,10
2018020055_295,Misconduct,10
2018020056_38,Minor,2
2018020056_53,Minor,2
2018020056_55,Minor,2
2018020056_193,Bench Minor,2
2018020056_226,Minor,2
2018020056_267,Minor,2
2018020056_308,Minor,2
2018020045_44,Minor,2
2018020045_73,Minor,2
2018020045_89,Minor,2
2018020045_97,Minor,2
2018020045_129,Major,5
2018020045_130,Major,5
2018020045_149,Minor,2
2018020045_150,Minor,2
2018020045_203,Minor,2
2018020045_270,Minor,2
2018020046_51,Minor,2
2018020046_59,Minor,2
2018020046_85,Bench Minor,2
2018020046_95,Minor,2
2018020046_117,Minor,2
2018020046_119,Minor,2
2018020046_154,Minor,2
2018020046_161,Minor,2
2018020046_190,Minor,2
2018020046_222,Minor,2
2018020046_242,Minor,2
2018020047_42,Minor,2
2018020047_67,Minor,2
2018020047_69,Minor,2
2018020047_88,Minor,2
2018020047_177,Minor,2
2018020048_77,Minor,2
2018020048_84,Minor,2
2018020048_86,Minor,2
2018020048_87,Minor,2
2018020048_111,Minor,2
2018020048_135,Minor,2
2018020048_191,Minor,2
2018020048_242,Minor,2
2018020048_244,Minor,2
2018020048_332,Minor,2
2018020049_26,Minor,2
2018020049_55,Minor,2
2018020049_78,Bench Minor,2
2018020049_92,Minor,2
2018020049_93,Minor,2
2018020049_109,Minor,2
2018020049_250,Minor,2
2018020050_20,Minor,2
2018020050_115,Minor,2
2018020050_312,Minor,2
2018020051_18,Minor,2
2018020051_37,Minor,2
2018020051_155,Minor,2
2018020051_206,Minor,2
2018020051_212,Minor,2
2018020051_226,Minor,2
2018020051_341,Minor,2
2018020051_342,Misconduct,10
2018020052_28,Minor,2
2018020052_37,Minor,2
2018020052_49,Major,5
2018020052_50,Major,5
2018020052_133,Minor,2
2018020052_148,Minor,2
2018020052_187,Minor,2
2018020052_267,Minor,2
2018020052_277,Minor,2
2018020052_294,Minor,2
2018020052_295,Minor,2
2018020053_16,Minor,2
2018020053_28,Minor,2
2018020053_127,Minor,2
2018020053_151,Minor,2
2018020053_167,Minor,2
2018020053_180,Minor,2
2018020053_189,Minor,2
2018020053_196,Minor,2
2018020053_251,Minor,2
2018020054_17,Minor,2
2018020054_62,Minor,2
2018020054_74,Minor,2
2018020054_87,Penalty Shot,0
2018020054_88,Minor,2
2018020054_107,Minor,2
2018020054_131,Minor,2
2018020054_153,Minor,2
2018020054_156,Minor,2
2018020054_187,Minor,2
2018020054_219,Minor,2
2018020054_290,Minor,2
2018020054_291,Minor,2
2018020055_57,Minor,2
2018020055_69,Minor,4
2018020055_134,Minor,2
2018020055_152,Minor,2
2018020055_167,Minor,2
2018020055_168,Major,5
2018020055_169,Major,5
2018020055_170,Major,5
2018020055_171,Major,5
2018020055_177,Minor,2
2018020055_184,Minor,2
2018020055_185,Misconduct,10
2018020055_195,Minor,2
2018020055_244,Minor,2
2018020055_276,Minor,2
2018020055_287,Minor,2
2018020055_288,Minor,2
2018020055_289,Misconduct,10
2018020055_295,Misconduct,10
2018020056_38,Minor,2
2018020056_53,Minor,2
2018020056_55,Minor,2
2018020056_193,Bench Minor,2
2018020056_226,Minor,2
2018020056_267,Minor,2
2018020056_308,Minor,2
2018020057_31,Minor,2
2018020057_165,Minor,2
2018020057_197,Minor,2
2018020057_215,Minor,2
2018020057_239,Minor,2
2018020057_282,Minor,2
2018020058_30,Minor,2
2018020058_51,Minor,2
2018020058_124,Minor,2
2018020058_153,Minor,2
2018020058_254,Minor,2
2018020059_42,Minor,2
2018020059_53,Minor,2
2018020059_75,Minor,2
2018020059_132,Minor,2
2018020059_209,Minor,2
2018020059_320,Minor,2
2018020061_114,Minor,2
2018020061_115,Minor,2
2018020061_116,Minor,2
2018020061_213,Minor,2
2018020061_229,Minor,2
2018020061_233,Minor,2
2018020061_272,Minor,2
2018020061_298,Minor,2
2018020061_309,Minor,2
2018020061_310,Minor,2
2018020061_336,Minor,2
2018020061_337,Minor,2
2018020061_338,Minor,2
2018020061_339,Minor,2
2018020060_56,Minor,2
2018020060_61,Minor,2
2018020060_90,Minor,2
2018020060_102,Minor,2
2018020060_144,Minor,2
2018020060_145,Minor,2
2018020060_181,Minor,2
2018020060_190,Minor,2
2018020060_192,Minor,2
2018020060_193,Minor,2
2018020060_213,Minor,2
2018020060_240,Minor,2
2018020060_254,Minor,2
2018020060_275,Minor,2
2018020060_280,Minor,2
2018020060_285,Minor,2
2018020060_286,Minor,2
2018020060_307,Minor,2
2018020062_127,Minor,2
2018020062_170,Minor,2
2018020062_184,Minor,2
2018020062_223,Minor,2
2018020062_225,Minor,2
2018020062_242,Bench Minor,2
2018020062_313,Minor,2
2018020062_374,Bench Minor,2
2018020063_18,Minor,2
2018020063_44,Minor,2
2018020063_84,Minor,2
2018020063_114,Minor,2
2018020063_115,Minor,2
2018020063_158,Minor,2
2018020063_211,Minor,2
2018020063_230,Minor,2
2018020063_246,Minor,2
2018020063_261,Minor,2
2018020063_301,Minor,2
2018020063_302,Minor,2
2018020063_303,Minor,2
2018020063_310,Minor,2
2018020064_23,Minor,2
