game_id,official_name,official_type
2018020068,Brad Watson,Referee
2018020068,Pierre Lambert,Referee
2018020068,Kiel Murchison,Linesman
2018020068,Ryan Galloway,Linesman
2018020069,Chris Rooney,Referee
2018020069,Jake Brenk,Referee
2018020069,Darren Gibbs,Linesman
2018020069,Brian Mach,Linesman
2018020070,Justin StPierre,Referee
2018020070,Ian Walsh,Referee
2018020070,Travis Gawryletz,Linesman
2018020070,Derek Nansen,Linesman
2018020071,Garrett Rank,Referee
2018020071,Tom Chmielewski,Referee
2018020071,Jesse Marquis,Linesman
2018020071,David Brisebois,Linesman
2018020072,Brian Pochmara,Referee
2018020072,TJ Luxmore,Referee
2018020072,Jonny Murray,Linesman
2018020072,Kory Nagy,Linesman
2018020073,Brad Watson,Referee
2018020073,Pierre Lambert,Referee
2018020073,Lonnie Cameron,Linesman
2018020073,Kiel Murchison,Linesman
2018020071,Garrett Rank,Referee
2018020071,Tom Chmielewski,Referee
2018020071,Jesse Marquis,Linesman
2018020071,David Brisebois,Linesman
2018020072,Brian Pochmara,Referee
2018020072,TJ Luxmore,Referee
2018020072,Jonny Murray,Linesman
2018020072,Kory Nagy,Linesman
2018020073,Brad Watson,Referee
2018020073,Pierre Lambert,Referee
2018020073,Lonnie Cameron,Linesman
2018020073,Kiel Murchison,Linesman
2018020074,Wes McCauley,Referee
2018020074,Dean Morton,Referee
2018020074,Andrew Smith,Linesman
2018020074,Libor Suchanek,Linesman
2018020075,Dan O'Rourke,Referee
2018020075,Trevor Hanson,Referee
2018020075,Trent Knorr,Linesman
2018020075,Tyson Baker,Linesman
2018020076,Graham Skilliter,Referee
2018020076,Brad Meier,Referee
2018020076,Tony Sericolo,Linesman
2018020076,Mark Shewchyk,Linesman
2018020077,Chris Rooney,Referee
2018020077,Eric Furlatt,Referee
2018020077,Ryan Daisy,Linesman
2018020077,Devin Berg,Linesman
2018020074,Wes McCauley,Referee
2018020074,Dean Morton,Referee
2018020074,Andrew Smith,Linesman
2018020074,Libor Suchanek,Linesman
2018020075,Dan O'Rourke,Referee
2018020075,Trevor Hanson,Referee
2018020075,Trent Knorr,Linesman
2018020075,Tyson Baker,Linesman
2018020076,Graham Skilliter,Referee
2018020076,Brad Meier,Referee
2018020076,Tony Sericolo,Linesman
2018020076,Mark Shewchyk,Linesman
2018020077,Chris Rooney,Referee
2018020077,Eric Furlatt,Referee
2018020077,Ryan Daisy,Linesman
2018020077,Devin Berg,Linesman
2018020078,Francis Charron,Referee
2018020078,Jean Hebert,Referee
2018020078,Pierre Racicot,Linesman
2018020078,Tim Nowak,Linesman
2018020079,Chris Schlenker,Referee
2018020079,Marc Joannette,Referee
2018020079,Matt MacPherson,Linesman
2018020079,Brian Murphy,Linesman
2018020080,Justin StPierre,Referee
2018020080,Dan O'Halloran,Referee
2018020080,Darren Gibbs,Linesman
2018020080,Brad Kovachik,Linesman
2018020081,Jake Brenk,Referee
2018020081,Kevin Pollock,Referee
2018020081,Derek Amell,Linesman
2018020081,David Brisebois,Linesman
2018020082,Brian Pochmara,Referee
2018020082,TJ Luxmore,Referee
2018020082,Jonny Murray,Linesman
2018020082,Kory Nagy,Linesman
2018020083,Brad Watson,Referee
2018020083,Pierre Lambert,Referee
2018020083,Kiel Murchison,Linesman
2018020083,Ryan Galloway,Linesman
2018020084,Ghislain Hebert,Referee
2018020084,Steve Kozari,Referee
2018020084,Lonnie Cameron,Linesman
2018020084,Bryan Pancich,Linesman
2018020085,Kyle Rehman,Referee
2018020085,Tim Peel,Referee
2018020085,Ryan Gibbons,Linesman
2018020085,Brandon Gawryletz,Linesman
2018020078,Francis Charron,Referee
2018020078,Jean Hebert,Referee
2018020078,Pierre Racicot,Linesman
2018020078,Tim Nowak,Linesman
