play_id,strength,gameWinningGoal,emptyNet
2018020035_173,Even,False,False
2018020035_201,Even,False,False
2018020035_273,Even,False,False
2018020035_354,Even,False,
2018020036_20,Even,False,False
2018020036_23,Even,False,False
2018020036_70,Even,True,False
2018020036_104,Power Play,False,False
2018020036_156,Power Play,False,False
2018020036_206,Even,False,False
2018020036_256,Power Play,False,False
2018020036_307,Even,False,False
2018020036_320,Short Handed,False,False
2018020036_322,Power Play,False,False
2018020037_7,Even,False,False
2018020037_35,Even,False,False
2018020037_66,Even,False,False
2018020037_96,Even,False,False
2018020037_114,Power Play,False,False
2018020037_124,Even,True,False
2018020037_131,Power Play,False,False
2018020037_316,Even,False,False
2018020038_39,Even,False,False
2018020038_62,Power Play,False,False
2018020038_123,Even,False,False
2018020038_150,Power Play,False,False
2018020038_207,Even,True,False
2018020038_234,Even,False,False
2018020038_268,Even,False,True
2018020039_73,Power Play,True,False
2018020039_120,Power Play,False,False
2018020039_214,Even,False,False
2018020040_27,Even,False,False
2018020040_56,Even,False,False
2018020040_166,Power Play,True,False
2018020041_53,Even,False,False
2018020041_96,Even,False,False
2018020041_103,Even,False,False
2018020041_153,Even,False,False
2018020041_166,Power Play,False,False
2018020041_179,Even,False,False
2018020041_190,Power Play,True,False
2018020041_197,Power Play,False,False
2018020041_236,Even,False,False
2018020041_255,Even,False,False
2018020041_306,Even,False,True
2018020036_20,Even,False,False
2018020036_23,Even,False,False
2018020036_70,Even,True,False
2018020036_104,Power Play,False,False
2018020036_156,Power Play,False,False
2018020036_206,Even,False,False
2018020036_256,Power Play,False,False
2018020036_307,Even,False,False
2018020036_320,Short Handed,False,False
2018020036_322,Power Play,False,False
2018020037_7,Even,False,False
2018020037_35,Even,False,False
2018020037_66,Even,False,False
2018020037_96,Even,False,False
2018020037_114,Power Play,False,False
2018020037_124,Even,True,False
2018020037_131,Power Play,False,False
2018020037_316,Even,False,False
2018020038_39,Even,False,False
2018020038_62,Power Play,False,False
2018020038_123,Even,False,False
2018020038_150,Power Play,False,False
2018020038_207,Even,True,False
2018020038_234,Even,False,False
2018020038_268,Even,False,True
2018020039_73,Power Play,True,False
2018020039_120,Power Play,False,False
